ParticipantIndex,Time,Reason,CurrentWaypoint,UpdatedRoute
,3.984223,Initial,12,12 53 116 28 35 92 32 71 16 119 6 
,15.256465,Waypoint Reached,74,74 12 53 116 28 35 92 32 71 16 119 6 
,28.36141,Waypoint Reached,17,17 70 12 53 116 28 35 92 32 71 16 119 6 
,38.455276,Waypoint Reached,111,111 17 70 12 53 116 28 35 92 32 71 16 119 6 
