ParticipantIndex,Time,Reason,CurrentWaypoint,UpdatedRoute
,13:45:44.167,Initial,12,12 62 53 75 6 
,13:46:36.904,Roadblock Report,12,12 62 59 53 75 6 
,13:46:54.400,Waypoint Reached,62,62 59 53 75 6 
