ParticipantIndex,Time,Reason,CurrentWaypoint,UpdatedRoute
,14:49:32.457,Initial,12,12 62 53 75 6 
,14:49:53.261,Waypoint Reached,62,62 53 75 6 
,14:50:04.270,Waypoint Reached,53,53 75 6 
,14:50:16.278,Waypoint Reached,75,75 6 
,14:50:28.289,Waypoint Reached,6,6 
