Participant,Current Waypoint,Score,Time Appeared,Time Sent
,62,50,14:49:53.250,14:49:54.951
,53,50,14:50:04.262,14:50:05.234
,75,50,14:50:16.274,14:50:17.476
,6,50,14:50:28.288,14:50:29.070
