ParticipantIndex,Time,Reason,CurrentWaypoint,UpdatedRoute
Connor,14:00:25.634,Initial,12,12 62 53 75 6 
Connor,14:00:43.368,Waypoint Reached,17,17 12 62 53 75 6 
Connor,14:00:55.096,Roadblock Report,17,17 80 55 18 76 30 59 53 75 6 
Connor,14:01:17.184,Roadblock Report,50,50 20 70 34 81 41 73 38 43 6 
tester,14:00:26.229,Initial,11,11 1 4 33 19 
tester,14:01:17.241,Roadblock Report,11,11 49 1 4 33 19 
tester,14:01:35.230,Waypoint Reached,27,27 11 49 1 4 33 19 
