Roadblock Index, Location1, Location2
0,1,11
1,2,27
2,2,29
3,7,8

Reports
Participant,Roadblock Index,Time Opened,Time Closed,Time Sent,Was Report Sent?,Reason,Report Message
,0,14:46:14.751,14:46:16.144,,No,Default,
,0,14:46:18.029,14:46:19.161,,No,Default,
,0,14:46:50.390,14:46:51.194,,No,Default,
