ParticipantIndex,Time,Reason,CurrentWaypoint,UpdatedRoute
,14:46:11.697,Initial,12,12 62 53 75 6 
,14:46:34.580,Waypoint Reached,62,62 53 75 6 
,14:46:45.580,Waypoint Reached,53,53 75 6 
