ParticipantIndex,Time,Reason,CurrentWaypoint,UpdatedRoute
,14:29:16.841,Initial,12,12 62 53 75 6 
,14:29:29.715,Waypoint Reached,17,17 12 62 53 75 6 
,14:30:02.833,Waypoint Reached,12,12 62 53 75 6 
