ParticipantIndex,Time,Reason,CurrentWaypoint,UpdatedRoute
,14:33:53.279,Initial,12,12 62 53 75 6 
,14:34:04.188,Roadblock Report,12,12 47 62 53 75 6 
,14:34:18.001,Roadblock Report,12,12 17 80 55 18 76 30 59 53 75 6 
