Participant,Current Waypoint,Score,Time Appeared,Time Sent
,62,50,14:41:58.837,14:41:59.955
,53,20,14:42:11.855,14:42:14.285
,75,20,14:42:26.881,14:42:28.346
,43,20,14:42:39.950,14:42:47.604
,6,20,14:42:59.991,14:43:01.982
