ParticipantIndex,Time,Reason,CurrentWaypoint,UpdatedRoute
test,65.131424,Initial,12,12 53 116 28 35 92 32 71 16 119 6 
test,91.706352,Waypoint Reached,74,74 12 53 116 28 35 92 32 71 16 119 6 
