Roadblock Index, Location1, Location2
0,2,109
1,3,67
2,4,49
3,10,108

Reports
Participant,Roadblock Index,Time Opened,Time Closed,Was Report Sent?,Reason,Report Message
test,,81.470039,87.474449,No,Default,
test,,99.21624,104.368645,No,Default,
test,,105.157249,106.016182,No,Default,
